CUULYDLIBYAN DINAR                                                          3LYLIBYAN ARAB JAMAHIRIYA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
CUUMADMOROCCAN DIRHAM                                                       2EHWESTERN SAHARA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
CUUMADMOROCCAN DIRHAM                                                       2MAMOROCCO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CUUMDLMOLDOVAN LEU                                                          2MDMOLDOVA, REPUBLIC OF                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
CUUMGFMALAGASY FRANC                                                        0MGMADAGASCAR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
CUUMGAMALAGASY FRANC                                                        2MGMADAGASCAR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
CUUMKDDENAR                                                                 2MKMACEDONIA,THE FORMER YUGOSLAV REPUBL. OF                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
CUUMMKKYAT                                                                  2MMMYANMAR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CUUMNTTUGRIK                                                                2MNMONGOLIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
CUUMOPPATACA                                                                2MOMACAU                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
CUUMROOUGUIYA                                                               2MRMAURITANIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
CUUMTLMALTESE LIRA                                                          2MTMALTA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
CUUMURMAURITIUS RUPEE                                                       2MUMAURITIUS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
CUUMVRRUFIYAA                                                               2MVMALDIVES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
CUUMWKKWACHA                                                                2MWMALAWI                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
CUUMXNMEXICAN PESO                                                          2MXMEXICO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
CUUMXVMEXICAN UNIDAD DE INVERSION (UDI)                                     2MXMEXICO                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
CUUMYRMALAYSIAN RINGGIT                                                     2MYMALAYSIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
CUUMZMMETICAL                                                               2MZMOZAMBIQUE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
CUUMZNMETICAL                                                               2MZMOZAMBIQUE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
CUUNADNAMIBIA DOLLAR                                                        2NANAMIBIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CUUNGNNAIRA                                                                 2NGNIGERIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CUUNIOCORDOBA ORO                                                           2NINICARAGUA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
CUUNLGNETHERLANDS GUILDER                                                   2NLNETHERLANDS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
CUUNOKNORWEGIAN KRONE                                                       2BVBOUVET ISLAND                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
CUUNOKNORWEGIAN KRONE                                                       2NONORWAY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
CUUNOKNORWEGIAN KRONE                                                       2SJSVALBARD AND JAN MAYEN ISLANDS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          
CUUNPRNEPALESE RUPEE                                                        2NPNEPAL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
CUUNZDNEW ZEALAND DOLLAR                                                    2CKCOOK ISLANDS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
CUUNZDNEW ZEALAND DOLLAR                                                    2NUNIUE                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
CUUNZDNEW ZEALAND DOLLAR                                                    2NZNEW ZEALAND                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
CUUNZDNEW ZEALAND DOLLAR                                                    2PNPITCAIRN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
CUUNZDNEW ZEALAND DOLLAR                                                    2TKTOKELAU                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CUUOMRRIAL OMANI                                                            3OMOMAN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
CUUPABBALBOA                                                                2PAPANAMA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
CUUPENNUEVO SOL                                                             2PEPERU                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
CUUPGKKINA                                                                  2PGPAPUA NEW GUINEA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        
CUUPHPPHILIPPINE PESO                                                       2PHPHILIPPINES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             
CUUPKRPAKISTAN RUPEE                                                        2PKPAKISTAN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
CUUPLNZLOTY                                                                 2PLPOLAND                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
CUUPTEPORTUGUESE ESCUDO                                                     0PTPORTUGAL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
CUUPYGGUARANI                                                               2PYPARAGUAY                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
CUUQARQATARI RIAL                                                           2QAQATAR                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
CUUROLLEU                                                                   2ROROMANIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CUURONLEU                                                                   2ROROMANIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
CUURUBRUSSIAN RUBLE (NEW)                                                   2RURUSSIAN FEDERATION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
CUURURRUSSIAN RUBLE (OLD)                                                   2RURUSSIAN FEDERATION                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
CUURWFRWANDA FRANC                                                          0RWRWANDA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
CUUSARSAUDI RIYAL                                                           2SASAUDI ARABIA                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            
CUUSBDSOLOMON ISLANDS DOLLAR                                                2SBSOLOMON ISLANDS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
CUUSCRSEYCHELLES RUPEE                                                      2SCSEYCHELLES                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              
CUUSDDSUDANESE DINAR                                                        2SDSUDAN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                   
CUUSEKSWEDISH KRONA                                                         2SESWEDEN                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
